Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Custom Coat Lincoln 80-1.75,362376,212,230,333,NA,NA,NA,NA,NA,NA,NA
Custom Coat McWaneUT 55-6.0,380322,214,657,828,53.1,48.3,5.87,NA,NA,NA,NA
Custom Coat Melling 60-2.85,380692,217,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Meskan 60-1.5,380722,216,157,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Meskan 60-2.0,380725,215,210,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Miller 40L-1.3,380267,203,259,392,NA,40.7,1.67,Yes,Yes,NA,NA
Custom Coat Miller 60-1.5,362227,212,201,341,NA,59.3,1.77,NA,NA,NA,NA
Custom Coat Miller 60-1.5EZ,380213,215,170,308,NA,59.5,1.8,NA,Yes,NA,NA
Custom Coat Miller 60-1.5H,380331,224,192,293,NA,NA,1.78,NA,NA,NA,NA
Custom Coat Miller 60-2.0,362229,205,280,NA,NA,NA,2.33,NA,NA,NA,NA
Custom Coat Miller 60-2.0H,363142,234,243,340,NA,58.5,2.23,NA,NA,NA,NA
Custom Coat Miller 60-2.0HEZ,364346,226,221,351,NA,58.7,2.29,NA,Yes,NA,NA
Custom Coat Miller 60-3.0,362261,229,416,495,NA,56.7,3.33,NA,NA,NA,NA
Custom Coat Miller 60-3.75B,369192,226,502,596,NA,55.5,3.97,NA,NA,Yes,NA
Custom Coat Miller 80-2.0,362263,206,242,513,NA,71.2,2.34,NA,NA,NA,NA
Custom Coat Mueller 80-3.5R,380203,222,444,525,NA,69.2,3.74,NA,NA,Yes,NA
Custom Coat Mueller 80L-3.5R,380335,222,453,541,NA,67.7,3.81,Yes,NA,Yes,NA
Custom Coat NIBCO 80-2.0,362887,219,288,475,76.5,NA,2.4,NA,NA,NA,NA
Custom Coat Nibco 80-2.25,380476,220,246,401,75.6,NA,2.59,NA,NA,NA,NA
Custom Coat Opta 50-5.5,363371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Opta 60-2.5,362526,226,364,472,60.4,NA,2.76,NA,NA,NA,NA
Custom Coat Opta 60-2.5EZ,380096,229,329,421,60.9,NA,2.78,NA,Yes,NA,NA
Custom Coat Opta 60-3.0H,362508,226,431,576,61.6,NA,3.37,NA,NA,NA,NA
Custom Coat Opta 65-2.6,362174,219,404,542,63.1,NA,2.92,NA,NA,NA,NA
Custom Coat Opta 70-1.75,362168,215,233,347,68.7,NA,2.01,NA,NA,NA,NA
Custom Coat Opta 70-2.4,362172,218,342,434,69.5,NA,2.65,NA,NA,NA,NA
Custom Coat Opta 70-3.0,362516,211,432,553,68.9,NA,3.42,NA,NA,NA,NA
Custom Coat Piedmont 60-2.75HMP,370221,226,339,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Piedmont 70-2.5,369964,219,288,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat PlymouthT 80-4.25,370408,213,286,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Reliable 60-3.5-EZ,363866,209,430,594,NA,NA,4.08,NA,Yes,NA,NA
Custom Coat Reliable 60L-1.4,364778,228,123,229,NA,NA,1.82,Yes,Yes,NA,NA
Custom Coat Reliable 80-2.0EZ,366144,211,179,365,NA,NA,2.26,NA,Yes,NA,NA
Custom Coat Scott 70-2.0,365717,211,283,398,NA,NA,2.26,NA,NA,NA,NA
Custom Coat Scott 70-3.73R,365724,224,422,507,NA,NA,4.04,NA,NA,Yes,NA
Custom Coat Scott 80-1.5,371053,229,179,279,NA,NA,1.74,NA,NA,NA,NA
Custom Coat Scott 80-2.5,371055,229,288,424,NA,NA,2.77,NA,NA,NA,NA
Custom Coat SEFP 90-1.5,363841,230,189,336,NA,NA,1.83,NA,NA,NA,NA
Custom Coat Shells 60-1.5,380002,195,301,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Simpson 60-1.4,365260,210,186,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Supreme 60L-2.0,380285,216,202,354,NA,NA,2.21,Yes,Yes,NA,NA
Custom Coat Supreme 60L-2.0H,380507,222,190,326,NA,NA,2.17,Yes,Yes,NA,NA
Custom Coat TH MFG 110Z-3.4,367139,217,725,762,109.6,NA,4.01,NA,NA,NA,NA
Custom Coat TH MFG 60-2.0H,380050,233,252,341,60.9,NA,2.23,NA,NA,NA,NA
Custom Coat TH MFG 60-3.5B,367796,219,363,552,61,NA,3.59,NA,NA,Yes,NA
Custom Coat TH MFG 60-3.75B,370321,206,338,510,60.8,NA,4.04,NA,NA,Yes,NA
Custom Coat TH MFG 60L-3.0,364592,216,395,466,62.2,NA,3.5,Yes,NA,NA,NA
Custom Coat TH MFG 80-3.75,362355,209,484,628,76.5,NA,4.21,NA,NA,NA,NA
Custom Coat Tommie 60-3.0,362943,230,387,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Turbo 80-2.0,380183,217,202,373,NA,NA,2.27,NA,NA,NA,NA
Custom Coat Tyler 80-3.25,380046,221,428,646,79.1,NA,3.53,NA,NA,NA,NA
Custom Coat Tyler 80-3.5,380042,222,452,657,79.3,NA,3.78,NA,NA,NA,NA
Custom Coat Urick 80L-3.25,369295,207,218,365,74.2,64,4.11,Yes,NA,NA,NA
Custom Coat Urick 80L-3.5,322081,199,306,442,NA,63.4,4.37,Yes,NA,NA,NA
Custom Coat Weaver 80-2.5,365111,223,328,443,NA,71.1,2.82,NA,NA,NA,NA
Faskure 104FT,307122,212,154,250,NA,47.9,1.25,NA,NA,NA,NA
Faskure 106FT,305511,215,113,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 124EZ,321872,220,168,273,47.7,NA,1.44,NA,Yes,NA,NA
Faskure 1525FLW,305289,223,286,364,25,NA,NA,NA,NA,NA,NA
Faskure 153FT,305330,212,288,NA,NA,NA,1.75,NA,NA,NA,NA
Faskure 154FT,307095,209,259,392,NA,47.9,1.77,NA,NA,NA,NA
Faskure 156EZ,305499,211,194,304,59.8,NA,1.92,NA,Yes,NA,NA
Faskure 156FT,307691,209,188,334,60.8,NA,1.78,NA,NA,NA,NA
Faskure 158FT,305612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 203FT,321284,208,414,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 204FT,305347,205,366,283,NA,NA,NA,NA,NA,NA,NA
Faskure 206EZ,380381,212,227,332,59.9,NA,2.24,NA,Yes,NA,NA
Faskure 206FT,307716,203,280,429,60.8,NA,2.27,NA,NA,NA,NA
Faskure 209EZ,308155,206,234,375,81,NA,2.36,NA,Yes,NA,NA
Faskure 209FT,305629,203,237,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 25550BFT,308234,207,344,NA,NA,NA,2.75,Yes,NA,NA,NA
Faskure 256,307590,218,357,459,60.3,NA,2.71,NA,NA,NA,NA
Faskure 256FT,305483,212,328,447,NA,NA,2.55,NA,NA,NA,NA
Faskure 258FT,305588,210,326,500,76.4,NA,2.79,NA,NA,NA,NA
Faskure 258VPFT,305567,211,312,497,NA,NA,3.05,NA,NA,NA,NA
Faskure 30650BVFTPEZ,347723,216,342,479,NA,NA,3.56,Yes,Yes,NA,NA
Faskure 306FT,307618,209,456,570,60.3,57.5,3.51,NA,NA,NA,NA
Faskure 306PR,306779,214,349,NA,59.7,NA,3.41,NA,NA,NA,NA
Faskure 309FT,305627,202,376,556,86.8,NA,3.45,NA,NA,NA,NA
Faskure 309VFT,305616,208,340,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 355FT,305370,206,458,NA,NA,NA,3.75,NA,NA,NA,NA
Faskure 356VFTP,305439,207,460,635,59.2,55.1,4.04,NA,NA,NA,NA
Faskure 358FT-4,332905,213,374,NA,77.4,NA,3.66,NA,NA,Yes,NA
Faskure 40B+15%Z,308456,210,594,NA,NA,NA,NA,Yes,NA,NA,NA
Faskure 50BVFTPEZ,357666,221,538,606,NA,NA,5.85,Yes,Yes,NA,NA
PlastiSand 160E0,305222,214,NA,369,NA,51.2,6.3,NA,NA,NA,NA
PlastiSand 67Z/G11G4S,325374,208,541,611,105.5,NA,2.85,NA,NA,Yes,NA
PlastiSand 812-BE,305256,231,280,383,NA,71.1,2.74,NA,NA,NA,NA
PlastiSand 812AI,305269,221,218,334,NA,NA,2.17,NA,NA,NA,NA
PlastiSand 821-CE2,305263,226,414,NA,NA,NA,NA,NA,NA,Yes,NA
PlastiSand AH37D1W,305678,219,206,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand B10A,307052,216,229,325,46.7,NA,1.78,NA,NA,NA,NA
PlastiSand BKNA,305264,211,378,575,NA,NA,4.17,NA,NA,Yes,NA
PlastiSand C19M1246S,326085,226,308,498,55,NA,4.36,NA,NA,Yes,NA
PlastiSand D15L17,305393,227,581,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand E/J10G17A,305285,213,361,465,67.7,NA,4.16,Yes,NA,Yes,NA
PlastiSand E85J12468,305467,207,254,438,61,NA,3.56,NA,NA,Yes,NA
PlastiSand F70G17,307874,233,347,437,NA,61.4,3.78,NA,NA,NA,NA
PlastiSand F85L12468SA,305534,204,255,NA,NA,NA,NA,NA,NA,Yes,NA
PlastiSand F85M1268,307816,207,346,500,NA,NA,4.64,NA,NA,NA,NA
PlastiSand G/Z31G146,305707,204,385,539,90.8,NA,2.86,NA,NA,Yes,NA
PlastiSand G13MLW,305574,225,505,640,NA,NA,5.07,NA,NA,NA,NA
PlastiSand G16P12,307967,222,391,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand G29L1246A,305602,214,283,NA,NA,NA,NA,NA,NA,Yes,NA
PlastiSand G31G,305591,223,414,NA,NA,NA,3.25,NA,NA,NA,NA
PlastiSand G31K26,305595,213,162,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand H85L1268A,305621,209,262,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand L15G,308246,227,390,435,62,NA,3.36,Yes,NA,NA,NA
PlastiSand M15L1,330532,213,620,813,82.5,NA,4.41,NA,NA,NA,NA
PlastiSand M19E147FTS,338497,214,368,NA,NA,71.9,NA,NA,NA,Yes,NA
PlastiSand MCZ,305718,214,287,365,90.4,NA,1.84,NA,NA,NA,NA
PlastiSand X11E-JDW,305693,218,524,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand Y11G-W,305692,216,434,456,NA,57.7,3.46,Yes,NA,NA,NA
PlastiSand Y11L-W,339685,215,552,552,NA,NA,4.46,Yes,NA,NA,NA
PlastiSand Z1G1,305701,204,739,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand ZVA1,308475,207,408,575,NA,NA,1.84,NA,NA,NA,NA
Shake-Free E11A179,305408,222,165,268,59.9,NA,1.7,NA,Yes,NA,NA
Shake-Free E11C179,307334,217,242,NA,NA,NA,NA,NA,Yes,NA,NA
Shake-Free E19C79,305430,216,204,360,60.7,58.3,2.17,NA,Yes,NA,NA
Shake-Free G11A179,328770,220,146,NA,NA,NA,NA,NA,Yes,NA,NA
Sigma Sand AA96M12B-LP,308347,209,312,NA,99.2,NA,4.73,NA,NA,NA,Yes
Sigma Sand D94G1,305396,211,466,NA,NA,NA,NA,NA,NA,NA,Yes
Sigma Sand E94E1S,305472,215,313,407,NA,58.5,2.75,NA,NA,NA,Yes
Sigma Sand E94F1HMP,347279,227,324,NA,NA,NA,NA,NA,NA,NA,Yes
Sigma Sand E94G1S,307568,217,394,455,NA,55.5,3.29,NA,NA,NA,Yes
Sigma Sand E94G1X,322161,209,398,NA,NA,NA,NA,NA,NA,NA,Yes
Sigma Sand F94E1,324832,217,305,372,NA,62.8,2.69,NA,NA,NA,Yes
Sigma Sand F98Q1246SSPES,307845,214,238,300,71.6,NA,5.11,NA,NA,Yes,Yes
Sigma Sand G95P12346GS,305579,213,221,NA,NA,65.9,NA,NA,NA,Yes,Yes
Sigma Sand G98Q1246S,326013,218,265,NA,NA,NA,NA,NA,NA,Yes,Yes
Sigma Sand J94J124AD-LP,305633,210,284,NA,75,NA,4.94,Yes,NA,Yes,Yes
Sigma Sand J94M16VR,335955,207,425,NA,75,NA,4.31,Yes,NA,Yes,Yes
Sigma Sand L94E1ALP,332850,219,296,NA,57.5,NA,2.89,Yes,NA,NA,Yes
Sigma Sand L94G14D-LP,305657,223,325,NA,57.3,NA,3.33,Yes,NA,Yes,Yes
Super F AH11E9,305676,212,225,NA,NA,NA,NA,NA,NA,NA,NA
Super F B11D19D-LP,305333,215,393,NA,51.3,NA,2.6,NA,NA,NA,NA
Super F D15E19,305383,218,343,NA,NA,NA,NA,NA,NA,NA,NA
Super F D15J29,305391,221,386,NA,NA,NA,NA,NA,NA,NA,NA
Super F E10G69,305404,197,349,553,NA,NA,3.12,NA,NA,NA,NA
Super F E11C9,305410,217,250,NA,NA,NA,NA,NA,NA,NA,NA
Super F E11F9,324152,213,368,NA,NA,56.2,2.98,NA,NA,NA,NA
Super F E11G19,305420,213,434,NA,NA,NA,NA,NA,NA,NA,NA
Super F E11G9LW,307379,211,416,NA,NA,NA,NA,NA,NA,NA,NA
Super F E19E19,307412,211,297,480,60.8,53.1,2.78,NA,NA,NA,NA
Super F E19G19D,307429,209,357,537,NA,NA,3.26,NA,NA,NA,NA
Super F E32C19A,305412,221,258,348,NA,59,2.19,NA,NA,NA,NA
Super F F15B9,359975,221,206,318,68.9,NA,2.03,NA,NA,NA,NA
Super F F15C9,305526,221,237,350,NA,64.1,2.26,NA,NA,NA,NA
Super F F15D9,359976,223,234,369,68.3,NA,2.52,NA,NA,NA,NA
Super F F15G9,305529,216,378,484,67.8,NA,3.29,NA,NA,NA,NA
Super F F29L1269A,305546,209,355,538,NA,57.4,4.33,NA,NA,NA,NA
Super F G10C19,327472,210,242,NA,NA,NA,2.27,NA,NA,NA,NA
Super F G11C19,305557,215,240,NA,NA,NA,NA,NA,NA,NA,NA
Super F G12M1269,305566,210,329,NA,NA,NA,NA,NA,NA,NA,NA
Super F G17C19,305596,225,194,NA,NA,72.5,2.16,NA,NA,NA,NA
Super F G19C179,324804,213,213,NA,NA,NA,NA,NA,NA,NA,NA
Super F G19E19,328788,209,315,NA,NA,NA,NA,NA,NA,NA,NA
Super F G29M1269,305606,209,NA,431,NA,66.1,4.56,NA,NA,NA,NA
Super F II E15G189,305457,213,383,520,60.9,NA,3.27,NA,NA,NA,NA
Super F II G/J19N12689,340128,208,396,580,NA,62.8,4.83,Yes,NA,NA,NA
Super F II G11F189,305561,210,346,NA,NA,70.7,3.01,NA,NA,NA,NA
ZZ  CC E-Series Bibby 60-4.0,380112,213,581,619,64.8,NA,4.29,NA,NA,NA,Yes
ZZ  CC E-Series Canfield 60-2.0LS,380135,225,232,NA,NA,NA,NA,NA,NA,NA,Yes
ZZ  CC E-Series Carpbros 80-2.5,380231,200,332,NA,NA,NA,NA,NA,Yes,NA,NA
ZZ  CC E-Series Clow WS 60-4.0,380013,213,603,647,72.4,NA,4.29,NA,NA,NA,Yes
ZZ  CC E-Series Klein Ferris 65-4.0B,363730,218,361,NA,NA,NA,NA,NA,NA,Yes,Yes
ZZ  CC E-Series Opta 53-3.0,369833,216,438,520,53.6,NA,3.3,NA,NA,NA,Yes
ZZ  CC E-Series Opta 53-3.4BD,369837,211,344,NA,NA,NA,NA,NA,NA,Yes,Yes
ZZ  CC E-Series Opta 55-5.5,369517,202,664,730,53.5,NA,5.16,NA,NA,NA,Yes
ZZ  CC E-Series SteelTech 60-2.0,366826,210,240,NA,NA,NA,NA,NA,Yes,NA,Yes
ZZ  Custom Coat AC Fdy 40L-1.7,367895,218,NA,NA,NA,NA,NA,Yes,Yes,NA,NA
ZZ  Custom Coat Canfield 60-2.25H,380014,220,377,NA,NA,NA,NA,NA,NA,NA,NA
ZZ  Custom Coat Columbus 60-3.5,369436,214,406,542,66,NA,3.77,NA,NA,NA,NA
ZZ  Custom Coat Coretech 75-2.85,371268,213,350,481,NA,72.4,3.11,NA,NA,NA,NA
ZZ  Custom Coat E&M 40-3.0,370393,194,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZZ  Custom Coat FrdMtrBx 70L-2.5B,380069,218,232,348,NA,64.6,2.81,Yes,NA,Yes,NA
ZZ  Custom Coat JCSteele 80-2.5B,380216,221,207,NA,NA,NA,NA,NA,NA,Yes,NA
ZZ  Custom Coat Lincoln 80-2.5,362378,209,300,NA,NA,NA,NA,NA,NA,NA,NA
ZZ  Custom Coat Maclean 80-2.5,362891,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZZ  Custom Coat McWaneUtah 70-5.5,380186,201,648,864,71.1,NA,5.9,NA,NA,NA,NA
ZZ  Custom Coat Miller 60-2.5,366845,206,363,530,NA,NA,2.76,NA,NA,NA,NA
ZZ  Custom Coat Mueller 70L-3.0B,371118,221,377,673,NA,71.9,3.68,Yes,NA,NA,NA
ZZ  Custom Coat Opta 60-2.0,362524,217,287,NA,61.6,NA,2.23,NA,NA,NA,NA
ZZ  Custom Coat RossAlum 55-3.0,362044,224,453,507,NA,NA,3.35,NA,NA,NA,NA
ZZ  Faskure 204MAG+FT,305348,214,236,NA,NA,NA,2.14,NA,Yes,NA,NA
ZZ  Faskure 256FT+A,307749,202,367,535,61.9,NA,2.96,NA,NA,NA,NA
ZZ  PlastiSand 6X31E,305696,214,422,463,NA,64.6,2.77,Yes,NA,NA,NA
ZZ  PlastiSand 716DG24,305252,217,413,NA,NA,NA,NA,NA,NA,Yes,NA
ZZ  PlastiSand E85M1246,305468,213,244,457,61.1,NA,4.4,NA,NA,Yes,NA
ZZ  PlastiSand Z5C2,305703,208,528,687,112,NA,2.41,NA,NA,NA,NA
ZZ  Super F E19E149,324765,215,245,393,63.4,NA,2.67,NA,NA,Yes,NA
ZZ  Super F E19F149,340712,214,313,480,60.5,NA,2.82,NA,NA,Yes,NA
ZZ  Super F II C11K189,305355,206,469,633,NA,48.7,4.22,NA,NA,NA,NA
